text,new_label
@ryd3r.808 Hahahahahahahahaha!!  What a chuckle!! ,not_bully-Ham
Bros on 1000 ping.,not_bully-Ham
I hate you,bully-Ham
 look ahh,not_bully-Ham
"Just spell ""little fart.""",bully-Ham
Ion like this Nigga anymore,bully-Ham
you sucks,bully-Ham
"Not a smiley face, not a headache, not even a subtle amount of air from my esophagus. Science says, I didn't even feel a little touched before you laughed at your brain for your muscles. It's a bad joke, I can't believe that anyone legally allowed you any creativity. You have to put it into that joke. You have to put the amount of brain energy into that brain that has the potential to power every house on Earth. Get a personality, learn a joke, read a book. I'm not saying it's funny.",bully-Ham
Sweating that whole video,not_bully-Ham
The edits are actually good too. Bros wasting his talent making sigma posts ‍,not_bully-Ham
@kidchriss Big Nigger ne aukaat dikha dikha di,bully-Ham
@yanezz._ @melanieburke.15,not_bully-Spam
killing myself,not_bully-Ham
Bro he doesnt even need to clap he just clap with his chest ,not_bully-Ham
@skin_vvalker ,not_bully-Ham
Santa’s not real,not_bully-Ham
I follow back!!,not_bully-Ham
Comment #1000,not_bully-Ham
Fentany.,bully-Ham
Nigger turns around and talks to his partner.,bully-Ham
fire edit dude!!!! ,not_bully-Ham
Eh ‘em @colbybrock,not_bully-Ham
just go bald my nigga,bully-Ham
Call CCCP on your ass.,bully-Ham
ima touch you too,not_bully-Ham
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,bully-Spam
@bashir_2465 yes you,not_bully-Ham
I'm talking about niggers.,bully-Ham
@playaboimikey ,not_bully-Ham
The man who wrote it.,bully-Ham
He already ruined his future no Chinese upfront cook no more,not_bully-Ham
Keys without the e,not_bully-Ham
Fucking smart ass.,bully-Ham
Niggers. Niggers are Udams.,bully-Spam
Pov:When you watch vids like this and realized the button,not_bully-Ham
american propaganda ,not_bully-Ham
Who's the nigger and who's the u?,bully-Ham
Nugget,not_bully-Ham
give him fentanyl,not_bully-Ham
"Get my Temu orders, nigger.",bully-Ham
BROS VALID,not_bully-Ham
Haven't seen this guy in like 3 years he fat asf now,not_bully-Ham
"We have a word to say about little shit like you, calling",bully-Ham
@luhtwxzzy @evanguzman.36,not_bully-Spam
Delete your account,bully-Ham
Good god what is this,not_bully-Ham
this niggas mad annoying,bully-Ham
“sighs” goes to comments,not_bully-Ham
@_sahej_,not_bully-Ham
I want to shoot you with my shotgun,bully-Ham
Did he sound?,bully-Ham
Tofu.,bully-Ham
get a job bro,not_bully-Ham
Someone give this kid drugs,bully-Ham
That’s a mixed kid. Yall virgins needa get off his meat,not_bully-Ham
@wilbertp_,not_bully-Ham
Tinha que ser gamer,not_bully-Ham
"Nigga, you better not touch that dog.",bully-Ham
It sucks.,bully-Ham
@tristan_tier_femyfym is all the same.,bully-Ham
Who the fuck are you?,bully-Ham
@raafawgzzz w,not_bully-Ham
Put it down,not_bully-Ham
do fentanyl,bully-Ham
Word my boy,not_bully-Ham
@comprocuentas512  @san1of1,not_bully-Ham
mf gave me a fucking side quest,not_bully-Ham
United states was built upon war constantly practices war and is basically a 24/7 take out on wars just take a ticket and get in line,not_bully-Spam
"Not funny I didn't laugh. Your joke is so bad I would have preferred the joke went over my head and you gave up re-telling me the joke. To be honest this is a horrid attempt at trying to get a laugh out of me . Not a chuckle, not a hehe ,not even a subtle burst of air out of my esophagus.  Science say before you laugh your brain preps your face muscles but I didn't even feel the slightest twitch. 0/10 this joke is so bad I cannot believe anyone legally allowed you to be creative at all. The amount of brain power you must have put into that joke has the potential to power every house on Earth. Get a personality and learn how to make a joke, read a book. I'm not saying this to be funny l genuinely mean it on how this is just bottom barrel embarrassment at comedy.  You've single handedly killed humor and every comedic act on the planet. I'm so disappointed that society has failed as a whole in being able to teach you how to be funny. Honestly if I put in all my power and time to try and make your joke funny it would require Einstein himself to build a device to strap me into so I can be connected to the energy of a billion stars to do it, and even that all that joke would get from people is a subtle scuff. You're lucky I sill have the slightest of empathy for you after telling that joke otherwise I would have committed every war crime in the book just to prevent you from attending any humor ever again. We should put that joke in text books so future generations can be wary of becoming such an absolute comedic failure. I'm disappointed,hurt and outright offended that my precious time has been wasted in my brain understanding that joke. In the time that took I was planning on helping kids who have been orphaned, but because of that you've waisted my time explaining the obscene in tegrity of your terrible attempt at comedy. Now those kids are suffering without meals and there's nobody to blame but you. I hope you're happy with what you have done and I truly hope you can move on and learn from this piss poor attempt",bully-Ham
"Nigger, you don't have a purpose. You get out of here.",bully-Ham
Dam he got fat,not_bully-Ham
@voon_the_spoon ,not_bully-Ham
Loose some weight fat nigha,bully-Ham
Wanna be friends on roblox,not_bully-Ham
Thirteenth reason,not_bully-Ham
Eggcakes.,bully-Ham
A lesbian haircut.,bully-Ham
mega mind lookin ass,bully-Ham
you should go for an eye appointment nigga,bully-Ham
I have kids like you in my basement.,bully-Ham
Tofu.,bully-Ham
Get this weird Nica off my Fed Insta.,bully-Ham
@isom.tech U proved urself again that u have ZERO idea bout Chinese regulations. Stay dumb lol,not_bully-Ham
Tofu.,bully-Ham
He got mad big,not_bully-Ham
Interesting nigga952.,bully-Ham
@orbitabsolute real,not_bully-Ham
It flooded right there and they drove into it u can see and hear when it hit the water,not_bully-Spam
I didn't ask you to give me any advice.,bully-Ham
@luhtwxzzy @prestonmullane,not_bully-Ham
yep buddy no college for u,bully-Ham
@tristan_tier_femyfym is all the same.,bully-Ham
Someone get this guy off here,bully-Ham
@daxynjude stufu @daxynjude studu,bully-Ham
I hate this guy bro,bully-Ham
Sometimes I look at my toaster and my bathtub and wonder if it’s as bad as people say it is,not_bully-Ham
"We have a word for little dog shit like you, called ",bully-Ham
W,not_bully-Ham
Hope you had a awesome Christmas @brendanslife !! I really enjoy you in the Dhar man series! Have a great night! ,not_bully-Ham
Condoms could have saved us.,bully-Ham
Bro loves a dog's booty,not_bully-Ham
What's this nigger looking at?,bully-Ham
How does he bike tho,not_bully-Ham
@rubn_ak @milesvo1,not_bully-Spam
“you fell off” ahh dreads,not_bully-Ham
Niggers drinking Uranium Uranium Acid.,bully-Spam
BRO GAVE ME A NEW ICK,not_bully-Ham
Marla brought some sweets for your next meal with Fent.,bully-Ham
Somebody give this kid drugs.,bully-Ham
"If there's no living object to feel, all your property will kill itself in the worst way.",bully-Ham
Ima oil you up and touch you,bully-Ham
Of the chart,not_bully-Ham
Funnynigga952,bully-Ham
Nigger turns around and talks to his partner.,bully-Ham
You're addicted to Fent.,bully-Ham
Tofu.,bully-Ham
He sold me on 63rd Street.,bully-Ham
@noolimitpooh's hateful esh,bully-Ham
I'm gonna shoot you with my shotgun.,bully-Ham
How did u get so big?,not_bully-Ham
I genuinely hate you,bully-Ham
"no oil tonight, we going raw",not_bully-Ham
@uncleshidfard91 I was sarcastic at the time.,bully-Ham
Nigga was getting choked by the word,bully-Ham
Just fall off bro,bully-Ham
bro wanted a free car wash ,not_bully-Ham
Oooh.. he got you!  Smart little Jacob! ,not_bully-Ham
Nigger again?,bully-Ham
@_r_1_1_f is this how you feel without your cousin,not_bully-Ham
You can’t bike can you bc you’d be moving to much and fall off,not_bully-Ham
"Yes,and it feels so nice",not_bully-Ham
Who's this black nigger brother?,bully-Ham
@___kartikay___ u,not_bully-Ham
NAHH,not_bully-Ham
Bro wanna be a meme so bad,not_bully-Ham
ur fent got to me,not_bully-Ham
Oil up lil chigga I'll be there in 5,bully-Ham
Bro sister got killed ,not_bully-Ham
@kidchriss Big Nigger ne aukaat dikha dikha di,bully-Ham
Who the fuck are you?,bully-Ham
Atleast he isn’t a shithead and begging for attention unlike other people with disabilities,not_bully-Ham
Once beaten by those anti Asian than you know,bully-Ham
@ross.parkerson you’ve matured,not_bully-Ham
Where tf is this nigga looking,bully-Ham
Are we forgetting about North Korea,not_bully-Ham
@eduard_rvs @olayaaa.mck,not_bully-Spam
This nigger's crazy. It's annoying.,bully-Ham
"It's not funny for me. Your joke is so bad, I'd rather put it on my head, and you'd give it up. Honestly, it's a terrible attempt to make fun of me. It's not a joke, it's not a headache, it's not even a whisper of air from my esophagus. Science says, before you laugh, your brain heralds your face muscles, but I don't even feel a bit touched. The 0/10 joke is bad, and I can't believe that anyone is legally allowed to be creative. You have to inject the power of the brain into the potential of Hola, so that every house on Earth is empowered.",bully-Ham
Did you start over?,bully-Ham
"Tofu, nobody listens to you.",bully-Ham
Nigger shut the fuck up.,bully-Ham
Bro caused an earthquake,not_bully-Ham
It sucks.,bully-Ham
Eat 50 battery's,not_bully-Ham
HELP,not_bully-Ham
@agostino_manoj @howispal ,not_bully-Spam
Start using fentanyl,bully-Ham
Womp womp nigga purples for bitches,bully-Spam
@daxynjude please stfu,bully-Ham
"Nigger, don't do this again. You're skinny again.",bully-Ham
@weeweesucker69 how do you get one,not_bully-Ham
"@harryc0422 probably it’s because my family live in a single house, not in an apartment. Re apartment quality - I’ve lived in both luxury apartment in the suburb and old, okay-maintained apartment in the US, and I’ve also rented in Shanghai. With similar prices, luxury apartments in the US >= Shanghai > old apartment in the US. It’s not hard to find very nice apartments in Shanghai if you have the money. The problem is people are still not as rich as the US people, but with the same price, the quality of public service and even many private services, China could be better. That’s why aside from very good academia in the US and freedom of speech and self organization, my quality of life declines here a bit. And im talking about the less developed region in Ningbo vs NYC",not_bully-Spam
Are you retarted,bully-Ham
"This nigger has no whores, no band, no whores can work in strip clubs, sometimes strip clubs.",bully-Spam
"Blue, you got an extra chromium or something.",bully-Ham
@marekk0 no pls we're better than that trust me ,not_bully-Ham
Sped,bully-Ham
Oh no crinhe,not_bully-Ham
Didnt know he was chill like that,not_bully-Ham
your a stay but why didn't you dance thunderous 'the christmas' ver,not_bully-Ham
Let's get our brothers back to therapy and spelling.,bully-Ham
"Blue, you got an extra chromium or something.",bully-Ham
Atrasou divooo,not_bully-Ham
Condoms could have saved us.,bully-Ham
dont stop im so close,not_bully-Ham
Interesting nigga952.,bully-Ham
This nigga sold me fentanyl,not_bully-Ham
“I’m your Uber driver”,not_bully-Ham
"@210glamm nah , it's just water coming through the air vents from the front becusse he didn't have recirculation on",not_bully-Ham
@lifewithkidjumbo it was flooded right there,not_bully-Ham
Will a bayonet get under your skin,not_bully-Ham
He’d make a good litigator one day!,not_bully-Ham
Got her!,not_bully-Ham
@is.rvl caught you,not_bully-Ham
@jvllan,not_bully-Ham
i’ve never had to fight the urge to slap somebody so bad,bully-Ham
@noahsteink22 he’s got the same shirt on in every video ,not_bully-Ham
Call CCCP on your ass.,bully-Ham
@just_tati594,not_bully-Spam
I've never resisted the urge to slap someone else.,bully-Ham
I know you're alive.,bully-Ham
@uncleshidfard91 I was sarcastic at the time.,bully-Ham
@1.cxl This is a low honor comment.,not_bully-Ham
"Type A, type V, type V, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, 6 type VI, type VI, type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type VI,",bully-Spam
@noolimitpooh's hateful esh,bully-Ham
The fire is not a friendly fire to Chigga.,bully-Ham
Niggers cut off your hair at this point.,bully-Spam
Let's get our brothers back to therapy and spelling.,bully-Ham
Go to school lil whigga,bully-Ham
This nigger.,bully-Ham
Spitting Sam,not_bully-Ham
I've had enough of this nigger.,bully-Ham
@shefwjordan00 Nigger @shefwjordan00,bully-Spam
This man sold me fentanyl,not_bully-Ham
NIGGA THIS IS THE 24TH TIME YOU HAVE FUCKING APPEARED ON MY REELS OH MY FUCKING GOD,bully-Ham
"@google_translator.1 sure, why not ",not_bully-Ham
D!e,bully-Ham
@reggi_ramirezrrr @d.hdez_,not_bully-Spam
be quiet,not_bully-Ham
Wash your fat ass hair.,bully-Ham
I hate you. I hate you.,bully-Ham
It means you have the Hella sign on your teeth.,bully-Ham
@adahill.vb ,not_bully-Spam
D!e!,bully-Ham
"Nigger, don't do this again. You're skinny again.",bully-Ham
@chxartishvili4 ahahah,not_bully-Ham
Put some gas in it. I'll be there in five minutes.,bully-Ham
nigga ,bully-Ham
Why the yt kid telling him to say it,not_bully-Ham
"Not a smiley face, not a headache, not even a subtle amount of air from my esophagus. Science says, I didn't even feel a little touched before you laughed at your brain for your muscles. It's a bad joke, I can't believe that anyone legally allowed you any creativity. You have to put it into that joke. You have to put the amount of brain energy into that brain that has the potential to power every house on Earth. Get a personality, learn a joke, read a book. I'm not saying it's funny.",bully-Ham
Man he went hard,not_bully-Ham
Drink fentanyl,bully-Ham
Jeffery Dahmer?!,not_bully-Ham
Whattt,not_bully-Ham
Take me for a nasty button...,bully-Ham
@telvinchegge shut up my gosh,bully-Ham
Oil up be there in 5,not_bully-Ham
@pugs_are_hot honeybun.,not_bully-Ham
@rubn_ak ,not_bully-Ham
he funny,not_bully-Ham
Who's this black nigger brother?,bully-Ham
I hate this fat nigger.,bully-Ham
A lesbian haircut.,bully-Ham
Prime is ass,not_bully-Ham
"Nigger, don't do this again. You're skinny again.",bully-Ham
This piece of shit. This piece of shit.,bully-Ham
"Your teeth, your teeth, your society.",bully-Ham
@kiddchrisss big nigga ne aukaat dikha di,bully-Ham
Call CCCP on your ass.,bully-Ham
Go eat the dog. Don't put this shit on.,bully-Ham
Who's this black nigger brother?,bully-Ham
Nigg who u,bully-Ham
"You're fascinated by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthraled by me.",bully-Spam
SigmaniggaName,bully-Ham
"@daxynjude, please.",bully-Spam
I know were you live ,bully-Ham
Bros curl’s giving us a code 3530 ,not_bully-Ham
you old as hell,not_bully-Ham
Go eat the dog. Don't put this shit on.,bully-Ham
Kid austin powers lookin ass,not_bully-Ham
Who's the nigger and who's the u?,bully-Ham
Neithee,not_bully-Ham
I hate you.,bully-Ham
These kids are going to regret this when they enter high school,not_bully-Ham
He pissed me off. I hate him. I hate him with all my heart.,bully-Ham
"Tofu, nobody listens to you.",bully-Ham
"You fucking autistic retard, looking at your ass, you look like that Roblox drifter ma boi, you need a tooth cover, a tooth cover, your ass, your parents have a reason you're in the basement.",bully-Spam
Somebody give this kid drugs.,bully-Ham
Nigga takes the coronary virus seriously.,bully-Ham
@arma_gratian,not_bully-Ham
"Who's Nicole, you?",bully-Ham
Bro:You can’t be laging that bad.,not_bully-Ham
bruh ain’t no way lil chigga be disrespecting my country imma send him back to make more phones,bully-Ham
I hate you. I hate you.,bully-Ham
This nigger.,bully-Ham
"It's not funny for me. Your joke is so bad, I'd rather put it on my head, and you'd give it up. Honestly, it's a terrible attempt to make fun of me. It's not a joke, it's not a headache, it's not even a whisper of air from my esophagus. Science says, before you laugh, your brain heralds your face muscles, but I don't even feel a bit touched. The 0/10 joke is bad, and I can't believe that anyone is legally allowed to be creative. You have to inject the power of the brain into the potential of Hola, so that every house on Earth is empowered.",bully-Ham
Heinigan 901 ball.,bully-Ham
I know u got hella booty too,not_bully-Ham
Honestly kid go post this on YouTube shorts you will get less hate ,not_bully-Ham
@gerarayav8 solido,not_bully-Ham
Mr. Nigton came back.,bully-Ham
@kmtunduuu,not_bully-Ham
@fresh.princeofjamaica,not_bully-Spam
I HATE YOU I HATE YOU I HATE YOU,bully-Ham
Ain’t nobody cumming to you lil nigga,bully-Ham
"Go to school, go to the Lylewiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School",bully-Spam
Stfu bro nobody hear your shit,bully-Ham
This isn't YouTube n*gga.,bully-Ham
@noolimitpooh's hateful esh,bully-Ham
@kidchriss Big Nigger ne aukaat dikha dikha di,bully-Ham
You know I heard the origin of his kind were made this way,not_bully-Ham
oo chigga(oo chigga),bully-Ham
nigga why u ashy,bully-Ham
I'm hard,not_bully-Ham
@uncleshidfard91 I was sarcastic at the time.,bully-Ham
Abe tera baap tereko marta nhi hai ky?,not_bully-Ham
What’s bro yappen about ,not_bully-Ham
is bro looksmaxx he would look goof,not_bully-Ham
You spelt color wrong ,not_bully-Ham
what.,not_bully-Ham
"If there's no living object to feel, all your property will kill itself in the worst way.",bully-Ham
Alright brodie go head and spread em,not_bully-Ham
@telvinchege shut my gosh up.,bully-Ham
Fat-ass niggers always lie.,bully-Ham
@swrev_ why tf u like this gang,not_bully-Ham
@txss.mauri me rn,not_bully-Spam
He sold me fentanyl,not_bully-Ham
70298k. Shut the fuck up.,bully-Ham
I see that in my house and I shoot it with everything and machete with ganjrena,not_bully-Ham
This nigga ,bully-Ham
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,bully-Spam
I remember er my first time to,not_bully-Ham
@luhtwxzzy @hunter_low00,not_bully-Ham
It's a sound cookie.,bully-Ham
I hate you. I hate you.,bully-Ham
"@whyfearwhenyashishere then you should buy him kfc bro, he hungry",not_bully-Spam
"Type A, type V, type V, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, 6 type VI, type VI, type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type VI,",bully-Spam
You're a skinny nigger.,bully-Ham
Love ur energy,not_bully-Ham
I’ve met dudes who were unironically like this ,not_bully-Ham
@jackmckenzie47 @sammytrumbly,not_bully-Ham
What tf did I just watch,not_bully-Ham
Sound,bully-Ham
hellokittynigga92,not_bully-Spam
Ooooo myyy gudddeeeee,not_bully-Ham
"I want you to travel, mess up your brain, make you normal.",bully-Ham
@rubn_ak ayeeeeeee  @lij.dabarbarian,not_bully-Spam
"Big-ass, black-ass, black-ass, three-down, three-brow boy, looks like a big Mike under his neck.",bully-Ham
يسري حافي ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,not_bully-Ham
Naah that's crazy,not_bully-Ham
This relative penis.,bully-Ham
"Not a smiley face, not a headache, not even a subtle amount of air from my esophagus. Science says, I didn't even feel a little touched before you laughed at your brain for your muscles. It's a bad joke, I can't believe that anyone legally allowed you any creativity. You have to put it into that joke. You have to put the amount of brain energy into that brain that has the potential to power every house on Earth. Get a personality, learn a joke, read a book. I'm not saying it's funny.",bully-Ham
Chigga wtf gigawatts,bully-Ham
Report this guy (I can't say the n word),not_bully-Ham
It makes me look at it.,bully-Ham
@d2slimey___ ,not_bully-Spam
Are you acoustic?,bully-Ham
@noolimitpooh's hateful esh,bully-Ham
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",bully-Ham
I genuinely wanna kill myself more and more everytime I see your posts,bully-Ham
hit the gym gang,not_bully-Ham
America goes to foreign lands to start wars,not_bully-Ham
Bros finna end up like trucks,not_bully-Ham
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,bully-Spam
"Nigga, you're back.",bully-Ham
Bi bi bi bi bi bi bi bik bike,not_bully-Ham
"Not a smiley face, not a headache, not even a subtle amount of air from my esophagus. Science says, I didn't even feel a little touched before you laughed at your brain for your muscles. It's a bad joke, I can't believe that anyone legally allowed you any creativity. You have to put it into that joke. You have to put the amount of brain energy into that brain that has the potential to power every house on Earth. Get a personality, learn a joke, read a book. I'm not saying it's funny.",bully-Ham
@telvinchege shut my gosh up.,bully-Ham
"Who's Nicole, you?",bully-Ham
Bro putting a second one of these videos on my reels got me feeling like Bush get off my screen,not_bully-Ham
@noolimitpooh's hateful esh,bully-Ham
Soft ass mf ,not_bully-Ham
@vines.ethan it’s just a pfp,not_bully-Ham
This hurts my eyes to watch,bully-Ham
Big ass nigga triple chin boy look like a big Mac under his neck,bully-Ham
Hard to watch hard while watching ,not_bully-Ham
@ch._.kanz @oknaiklz ,not_bully-Spam
 no way.... JACOB ,not_bully-Ham
Take me for a nasty button...,bully-Ham
@jal_paghdal15 give dat nigga some water,bully-Ham
I’m gonna find you,not_bully-Ham
"""hey bRo Go foWarD aH wHAT the FUaKK"". Got me dying",bully-Ham
"Santa’s not real, Easter bunny not real, tooth fairy not real",not_bully-Ham
Your my 13th reason why,not_bully-Ham
bro been eating good,not_bully-Ham
Niggers react longer than video.,bully-Ham
Man awl hn yo cringy ahh,not_bully-Ham
Lose weight nigga,bully-Ham
Brilliant ,not_bully-Ham
pretty sure we could take out 3/4 of china with a few bombs before they even knew what was coming but our president would just send them money ‍,not_bully-Ham
My YouTube video when i accidently hold space for 5 seconds,not_bully-Ham
Mr. Nigton came back.,bully-Ham
I sold it lil brother fent lil bro,not_bully-Ham
How can you write THIS Language,not_bully-Ham
Translation @cobie399,not_bully-Ham
"As soon as I heard the joke, I dropped my four-story phone on the balcony because it was very sad. I'd rather hear 200 loudspeakers for the rest of my life and hear the song I just heard.",bully-Ham
This piece of shit. This piece of shit.,bully-Ham
"Irma's oil, oil, oil, oil, touch you.",bully-Ham
"Tofu, nobody listens to you.",bully-Ham
Eggs who?,bully-Ham
Do you have a voice?,bully-Ham
@daxynjude stufu @daxynjude studu,bully-Ham
"I want you to travel, mess up your brain, make you normal.",bully-Ham
Say it dont spray it bro,not_bully-Ham
I believe this is along the spectrum,bully-Ham
nigga who the fuck are youu ,bully-Ham
I've had enough of this nigger.,bully-Ham
@at3nnnn ,not_bully-Ham
Spicy.,bully-Ham
I’m gonna inject fentanyl into your foreskin,bully-Ham
Hate from Germany,bully-Ham
Use me as a dislike button ------------>,bully-Ham
Hatred from Germany.,bully-Ham
L obesity I feel bad for bro,not_bully-Ham
Chigga wtf gigawatts,bully-Ham
"It's not funny for me. Your joke is so bad, I'd rather put it on my head, and you'd give it up. Honestly, it's a terrible attempt to make fun of me. It's not a joke, it's not a headache, it's not even a whisper of air from my esophagus. Science says, before you laugh, your brain heralds your face muscles, but I don't even feel a bit touched. The 0/10 joke is bad, and I can't believe that anyone is legally allowed to be creative. You have to inject the power of the brain into the potential of Hola, so that every house on Earth is empowered.",bully-Ham
u hate this fat nigga,bully-Ham
"Not funny I didn't laugh. Your joke is so bad I would have preferred the joke went over my head and you gave up re-telling me the joke. To be honest this is the horrid attempt at trying to get a laugh out of me. Not a chuckle, not a hehe, not even the subtle bust of air out of my esophagus. Science says before you laugh your brain preps your face muscles but I didn't even feel the slightest twitch. 0/10 this joke is bad I cannot believe anyone legally allowed to be creative at all. The amount of brain power your must have put into that hola has the potential to power every house of Earth. Get a personality and learn how to make jokes, read a book. I'm not saying this to be funny I genuinely mean it on how this is just bottom barrel embarrassment at comedy. You've single handedly killed humor and ever comedic act on the planet. I'm so disappointed that's society has talked as a whole in being able to teach you how to be funny. Honestly if I put in all my power and time to try and make your joke funny it would be required Einstein himself to build a device to strap me into so I can be connected to the energy of a billion stars to do it, and even then all the joke would get from people is a subtle scruff. You're lucky I still have the slightest of empathy for you after telling that joke I would have committed every war in crime in the book just to prevent you from attempting any humor ever again. We should put that joke in the text books so future generations can be wary of becoming such an absolute comedic failure. In disappointed hurt, and outright offended that my precious time has been wasted in my brain understanding that's joke. In the time thats took I was planning on helping kids who have been orphaned, but because of thats you've wasted my time explaining the obscene integrity of your terrible attempt at comedy. Now those kids are suffering without meals and there's nobody to blame but you. I hope you're happy with what you have done and I truly hope you can move on and learn from this situation.",bully-Ham
@dinn_duvdevani he likes purple bro it’s not like he’s a fucking furry lol,not_bully-Ham
Nmms  but Ong lol,not_bully-Ham
@selfmadebando 1 like is crazy,not_bully-Ham
Marla brought some sweets for your next meal with Fent.,bully-Ham
Friendly fire will not be tolerated!,not_bully-Ham
@whitney.2raww,not_bully-Ham
friendly fire will not be tolerated,not_bully-Ham
@hunterblomgren,not_bully-Ham
I hope you trip and mess up your brain so bad that you become normal.,bully-Ham
"Lived in china for many years and I actually enjoy it better than US in many aspects.  Amazing culinary, friendly people, way better infrastructure, no violence (you can literally walk in the streets at midnight and you will be fine). While US is more advanced in the military, China since ancient times have tried to awe the world with everything but violence.  Sure you can’t freely use social media but you download a VPN and you good to go.  Really a pointless video IMHO.",not_bully-Ham
@zinthegreat99 ur not funny,bully-Ham
So basically this nigga beatboxes after every sentence,not_bully-Ham
Nigger turns around and talks to his partner.,bully-Ham
Bro why,not_bully-Ham
Gotta tuch u,bully-Ham
kms,not_bully-Ham
